normalized_target_class,count,ratio
Maxim 커피믹스 박스,1,0.0002
투명한 플라스틱 봉투,1,0.0002
책상 위 오렌지 껍질 옆,1,0.0002
은색과 분홍색 포장재,1,0.0002
오른쪽 음료팩,1,0.0002
책자와 종이,1,0.0002
창가 바닥에 놓여 있다.,1,0.0002
펩시 페트병,1,0.0002
"라면 용기: 플라스틱, 만두 포장재: 비닐",1,0.0002
플라스틱 생수병 2개,1,0.0002
Almond Breeze 상자,1,0.0002
왼쪽의 골판지 조각,1,0.0002
책상 오른쪽 모니터 앞,1,0.0002
플라스틱 튜브 형태의 치약 용기,1,0.0002
길가에 세워진 박스 안,1,0.0002
파란색 스프레이 병,1,0.0002
투명한 원형 뚜껑과 용기,1,0.0002
핑크색 빨대컵,1,0.0002
보라색 상자,1,0.0002
티즐 제로 피치우롱티 플라스틱 병,1,0.0002
투명 페트병과 투명 플라스틱 컵,1,0.0002
"노란색, 갈색, 초록색, 흰색",1,0.0002
친환경 종이 용기,1,0.0002
1100 x 2000 mm,1,0.0002
플라스틱 약통,1,0.0002
커피 컵과 컵 홀더,1,0.0002
나무 선반 위,1,0.0002
플라스틱 지퍼백 형태의 포장재,1,0.0002
전봇대 옆,1,0.0002
알루미늄 캔 두 개,1,0.0002
알루미늄 호일,1,0.0002
모니터 클리닝 일회용 티슈 상자,1,0.0002
빨간색 종이 띠,1,0.0002
포스트잇 메모지,1,0.0002
뚜껑,1,0.0002
흰색 슬리퍼,1,0.0002
포카리 스웨트 병,1,0.0002
사진 중앙과 오른쪽 바닥에 쌓여 있다,1,0.0002
TEAZLE 음료수 병,1,0.0002
검은색 사각형 용기,1,0.0002
타이어와 종이 상자,1,0.0002
나무 가지 사이 땅 위,1,0.0002
KFC 종이봉투,1,0.0002
"플라스틱 용기 1개, 숟가락 1개",1,0.0002
플라스틱 병과 캔,1,0.0002
벤치 앞 바닥에 있다.,1,0.0002
검은색 플라스틱 숟가락과 종이 재질 용기,1,0.0002
건전지 4개,1,0.0002
검은색 용기,1,0.0002
초록색과 검은색,1,0.0002
일회용 커피 컵 뚜껑,1,0.0002
뚜껑과 빨대가 플라스틱으로 되어 있다,1,0.0002
흰색 바구니,1,0.0002
삼성 복사용지 박스,1,0.0002
휴지심,1,0.0002
"컵은 투명한 분홍색, 빨대는 분홍색",1,0.0002
우동 용기,1,0.0002
하얀색 종이봉투,1,0.0002
종이봉투와 종이상자,1,0.0002
HARIBO 골드베렌 통,1,0.0002
플라스틱 재질의 대야,1,0.0002
14,1,0.0002
파란색과 노란색이 있는 기둥 주위,1,0.0002
은색 바탕에 분홍색 손잡이,1,0.0002
음식 포장 상자,1,0.0002
금속 캔 두 개,1,0.0002
종이(종이팩),1,0.0002
녹색 캡이 달린 알루미늄 튜브,1,0.0002
검은색 립밤 용기,1,0.0002
접힌 흰색 종이,1,0.0002
플라스틱 용기 3개,1,0.0002
쓰레기 봉투 옆에 놓여 있다,1,0.0002
플라스틱 컵에 핑크색 라벨이 붙어 있다.,1,0.0002
투명한 플라스틱 뚜껑이 있는 음료 컵,1,0.0002
1.25L,1,0.0002
녹색 캔 음료수,1,0.0002
플라스틱 빨대와 포장지,1,0.0002
계란판과 종이박스,1,0.0002
"두 컵 모두 플라스틱 재질이며, 노란색 빨대가 꽂혀 있다.",1,0.0002
모두 플라스틱 재질이다,1,0.0002
플라스틱 용기와 뚜껑,1,0.0002
닥터 페퍼,1,0.0002
종이 재질의 안내문,1,0.0002
덴타탁 액티브 상자,1,0.0002
주황색 바구니,1,0.0002
밀키스 캔,1,0.0002
플라스틱 스프레이 병 2개,1,0.0002
플라스틱 컵과 빨대가 각각 한 개씩 있다.,1,0.0002
플라스틱 상자,1,0.0002
플라스틱 캔디 포장지,1,0.0002
계란판과 피자 상자,1,0.0002
포테토칩 봉지는 플라스틱 재질로 재활용 가능하다.,1,0.0002
종이 냅킨,1,0.0002
고양이 화장실,1,0.0002
바닥에 펼쳐진 판지 위,1,0.0002
빨간 쓰레받기,1,0.0002
파란색 빨대,1,0.0002
컵라면 용기 겉면 종이 포장,1,0.0002
비타민C 상자,1,0.0002
프링글스 감자칩 캔,1,0.0002
종이상자 2개,1,0.0002
콜라겐 샴푸 병,1,0.0002
빨간색 원통형 포장지,1,0.0002
노란색 뚜껑이 있는 금속 용기,1,0.0002
금속 텀블러,1,0.0002
흰색 플라스틱 컵,1,0.0002
빨간색과 은색,1,0.0002
립 케어 스틱,1,0.0002
플라스틱 용기 뚜껑,1,0.0002
플라스틱 투명 용기,1,0.0002
우생장갑 상자,1,0.0002
투명한 아보카도 포장 용기,1,0.0002
"플라스틱 컵에는 빨대가 꽂혀 있고, 컵 겉면에 종이 재질의 띠가 감겨 있다.",1,0.0002
검은색 자동차 앞 바퀴 옆,1,0.0002
플라스틱 컵 2개,1,0.0002
코카콜라 빈 플라스틱 병,1,0.0002
플라스틱 컵 1개와 빨대 1개,1,0.0002
투명한 뚜껑이 있는 플라스틱 용기,1,0.0002
비닐류,1,0.0002
커피 페트병,1,0.0002
꿀홍삼 음료,1,0.0002
플라스틱 통과 뚜껑,1,0.0002
하얀 플라스틱 병과 투명 플라스틱 포장재,1,0.0002
플라스틱 파일 홀더,1,0.0002
서울우유 100%,1,0.0002
"흰색 3개, 녹색 5개",1,0.0002
사각형 플라스틱 트레이,1,0.0002
제로 카페인 제로 슈가 음료 캔,1,0.0002
초콜릿 봉지,1,0.0002
레몬맛,1,0.0002
벽과 바닥 모서리 사이에 있는 흰색 종이봉투,1,0.0002
투명한 플라스틱 포장지,1,0.0002
종이팩과 종이상자,1,0.0002
플라스틱 집게,1,0.0002
종이 심지,1,0.0002
초록색 병,1,0.0002
은박 포장지 조각,1,0.0002
감자칩 캔,1,0.0002
"유리병 1개, 플라스틱병 1개",1,0.0002
투명한 컵 뚜껑,1,0.0002
분홍색 화장품 상자,1,0.0002
음료수 캔과 빈 통조림 캔,1,0.0002
노란색 바구니,1,0.0002
타이어 위에 놓여 있다.,1,0.0002
투명한 안경 케이스,1,0.0002
흰색 튜브형 용기,1,0.0002
"종이 재질, 종이류",1,0.0002
금속 케이스,1,0.0002
투명한 플라스틱 칫솔 포장재,1,0.0002
종이팩 우유 용기,1,0.0002
종이상자와 종이박스,1,0.0002
복숭아 허니 그린티 음료 파우치,1,0.0002
녹색 그물망 안의 신문과 종이류,1,0.0002
18L,1,0.0002
투명 용기와 페트병,1,0.0002
금속 포일,1,0.0002
나무 젓가락 두 개,1,0.0002
플라스틱 병 마개,1,0.0002
투명 플라스틱 컵 2개,1,0.0002
플라스틱 컵 뚜껑과 빨대가 모두 플라스틱 재질이다.,1,0.0002
골판지 조각,1,0.0002
종이팩 두유와 알루미늄 캔 음료,1,0.0002
초록색 뚜껑이 있는 빈 페트병,1,0.0002
플라스틱 젓가락 포장재,1,0.0002
간장 소스가 담긴 작은 플라스틱 봉지,1,0.0002
분홍색 토끼 캐릭터,1,0.0002
종이 타월,1,0.0002
묶여 있는 골판지 상자들,1,0.0002
책상 위 앞쪽,1,0.0002
끈으로 묶여 있음,1,0.0002
플라스틱 병이 든 비닐봉지,1,0.0002
노란색 상자 포장재,1,0.0002
녹색 문 앞 바닥에 쌓여 있다,1,0.0002
2장,1,0.0002
안경 케이스,1,0.0002
종이컵과 플라스틱 컵이 주로 들어있다.,1,0.0002
하얀색 종이컵,1,0.0002
제품을 감싸는 투명 비닐 포장재,1,0.0002
상자 모양의 포장지,1,0.0002
6개입,1,0.0002
검은색 뚜껑이 있는 병,1,0.0002
하얀색 용기와 박스 형태의 용기들,1,0.0002
빨간색 음료 용기와 뚜껑,1,0.0002
감자칩 통,1,0.0002
바닥에 흰색 용기,1,0.0002
초록색 울타리 옆 바닥에,1,0.0002
사진 중앙 오른쪽 바닥에 쌓여 있음,1,0.0002
종이류 신문지,1,0.0002
"플라스틱 병 1개, 플라스틱 컵 1개",1,0.0002
플라스틱 용기와 병,1,0.0002
은박지 포장지,1,0.0002
나무 옆 땅바닥에 쌓여 있다,1,0.0002
"바닥 위, 오른쪽에 위치한 초록색 병",1,0.0002
종이로 된 음식 용기,1,0.0002
철제 기둥 옆 바닥,1,0.0002
분홍색과 흰색,1,0.0002
빨간색과 갈색,1,0.0002
팝콘 통,1,0.0002
빨간색 플라스틱 의자,1,0.0002
에클립스 캔디 케이스,1,0.0002
투명한 소스 용기,1,0.0002
칠성사이다,1,0.0002
오렌지색 상자,1,0.0002
하얀색 상자,1,0.0002
빗,1,0.0002
종이책과 종이상자,1,0.0002
"비닐봉지는 플라스틱, 과자봉지는 비닐",1,0.0002
종이(골판지) 상자,1,0.0002
뚜껑이 있는 흰색 플라스틱 용기,1,0.0002
노란색 풀 튜브,1,0.0002
종이류(박스 및 종이),1,0.0002
"뚜껑은 투명, 빨대는 빨간색",1,0.0002
페프시 음료 캔과 동원참치 캔,1,0.0002
바닥에 놓인 상자 안,1,0.0002
일회용 마스크,1,0.0002
페트병 생수병,1,0.0002
박스 안쪽에 들어있다,1,0.0002
"왼쪽 상자는 종이 재질, 오른쪽 상자는 종이 재질이다.",1,0.0002
커피 컵,1,0.0002
플라스틱 용기와 포장 비닐,1,0.0002
초코우유,1,0.0002
컵 안에 음료 위에 덮여 있다.,1,0.0002
계단 위 왼쪽 모서리에 놓여 있다.,1,0.0002
서울우유,1,0.0002
플라스틱 트레이,1,0.0002
비닐 랩,1,0.0002
종이 재질의 달걀판,1,0.0002
투명한 병에 주황색 뚜껑,1,0.0002
시리얼 상자,1,0.0002
뚜껑이 열려 있음,1,0.0002
돔형 뚜껑,1,0.0002
파란색 포장지,1,0.0002
초코칩 쿠키 상자,1,0.0002
립밤 튜브,1,0.0002
갈색 택배 상자,1,0.0002
노란색과 빨간색이 섞인 사각형 용기,1,0.0002
검은색 숟가락 2개,1,0.0002
가운데 줄 중간에 있는 투명 봉투,1,0.0002
주황색과 파란색,1,0.0002
투명한 플라스틱 케이스,1,0.0002
코카콜라 제로 PET 병,1,0.0002
계단 옆 바닥에 쌓여 있다,1,0.0002
투명한 비닐봉지,1,0.0002
짱구,1,0.0002
평창수,1,0.0002
16oz PET 컵 1000개,1,0.0002
종이 상자와 플라스틱 알약 포장,1,0.0002
비닐 포장지,1,0.0002
플라스틱 세제 용기,1,0.0002
종이로 만든 포장지,1,0.0002
투명한 플라스틱 파우치,1,0.0002
책장 상단 선반,1,0.0002
종이컵과 유리병,1,0.0002
코카콜라 빈 페트병,1,0.0002
뚜껑과 빨대가 있는 투명 플라스틱 컵,1,0.0002
200ml,1,0.0002
분홍색 종이컵과 노란색 컵홀더,1,0.0002
금속 캔 형태의 용기,1,0.0002
이클립스 껌 상자,1,0.0002
투명한 플라스틱 용기 2개,1,0.0002
뚜껑과 빨대가 있는 투명 컵,1,0.0002
금속 캔 1개,1,0.0002
숟가락과 젓가락,1,0.0002
아몬드 브리즈 팩,1,0.0002
약 40개,1,0.0002
종이로 뭉친 휴지,1,0.0002
빨간색 brrr 콜라 캔,1,0.0002
오뚜기 카레 소스 상자,1,0.0002
올리브 오일 병,1,0.0002
검은 통 옆 바닥에 있음,1,0.0002
책상 중앙 키보드 옆,1,0.0002
투명 페트병과 투명 플라스틱 용기,1,0.0002
종이 재질의 음료 컵 홀더,1,0.0002
검은색 커피 스틱 포장 박스,1,0.0002
종이로 된 휴지심,1,0.0002
하얀 컵 옆 탁자 위,1,0.0002
나무 아래 땅 위,1,0.0002
플라스틱 용기와 플라스틱 병,1,0.0002
탁자 앞쪽 중앙,1,0.0002
커다란 종이 상자,1,0.0002
스티로폼 재질 용기,1,0.0002
투명 비닐봉투,1,0.0002
갈색과 노란색,1,0.0002
초록색 MONSTER 음료 컵 홀더,1,0.0002
플라스틱 포장된 포크,1,0.0002
파란색 캔,1,0.0002
커피 스틱 포장재,1,0.0002
파란 비닐봉지 밖에 바닥에 놓여 있음,1,0.0002
주방용 키친타올 상자,1,0.0002
4권,1,0.0002
탄산음료 캔과 에너지 음료 캔,1,0.0002
플라스틱 병 1개와 투명한 플라스틱 용기 2개,1,0.0002
물티슈 케이스,1,0.0002
플라스틱 컵과 금속 캔,1,0.0002
"캔 1개, 종이팩 1개",1,0.0002
"캔 1개, 페트병 1개",1,0.0002
투명 뚜껑과 초록색 빨대,1,0.0002
하얀 비닐봉지,1,0.0002
유리병과 캔,1,0.0002
종이팩 음료 2개,1,0.0002
책상 위,1,0.0002
티슈 상자와 흰색 종이 뭉치,1,0.0002
녹색 유리병,1,0.0002
파란색과 초록색,1,0.0002
투명한 계란판,1,0.0002
플라스틱 컵과 종이컵,1,0.0002
"유리병 1개, 종이팩 1개",1,0.0002
유리 접시,1,0.0002
투명 플라스틱 컵과 노란 빨대,1,0.0002
흰색 뚜껑이 있는 둥근 용기,1,0.0002
하얀 종이 상자,1,0.0002
AA형 건전지 4개,1,0.0002
종이팩 3개,1,0.0002
박스 안,1,0.0002
도넛 상자,1,0.0002
뚜껑과 빨대가 포함되어 있다.,1,0.0002
종이 뭉치,1,0.0002
아보카도,1,0.0002
크래커 상자,1,0.0002
칠성 사이다,1,0.0002
음료수 컵과 빨대,1,0.0002
플라스틱 숟가락과 요구르트 용기,1,0.0002
빨간색과 흰색이 그라데이션된 종이컵,1,0.0002
손에 들린 음료 종이팩,1,0.0002
유리병 재활용,1,0.0002
플라스틱 뚜껑과 종이팩,1,0.0002
파란색 물통,1,0.0002
"플라스틱 병 2개, 컵 1개",1,0.0002
빨간 무늬가 있는 플라스틱 쟁반,1,0.0002
26개,1,0.0002
노란색 뚜껑과 투명한 병,1,0.0002
초파춥스 캔,1,0.0002
투명한 플라스틱 용기와 흰색 플라스틱 컵,1,0.0002
"플라스틱 병 1개, 유리병 1개",1,0.0002
포장재,1,0.0002
종이 상자 안,1,0.0002
타이레놀,1,0.0002
빨간색과 노란색 글자가 적힌 종이 띠,1,0.0002
Welch`s 포도맛 캔,1,0.0002
노란색 플라스틱 빨대,1,0.0002
5개 이상,1,0.0002
흰색 컵은 종이 재질이다.,1,0.0002
Kellogg`s,1,0.0002
완전히 접혀서 평평한 상태,1,0.0002
불닭볶음면,1,0.0002
바닥 중앙,1,0.0002
회색,1,0.0002
하나는 찌그러지고 하나는 멀쩡하다.,1,0.0002
금색,1,0.0002
플라스틱 핸드크림 튜브,1,0.0002
종이컵과 종이봉투,1,0.0002
PET(폴리에틸렌 테레프탈레이트),1,0.0002
골판지 상자와 종이 쇼핑백,1,0.0002
오렌지 주스와 사과 주스,1,0.0002
플라스틱 병 하나,1,0.0002
"파란색, 흰색, 노란색",1,0.0002
케이크 받침 종이,1,0.0002
하얀색 코코호도 상자,1,0.0002
플라스틱 병과 플라스틱 뚜껑,1,0.0002
고추장,1,0.0002
검은색 플라스틱 도시락 용기,1,0.0002
투명한 뚜껑과 흰색 빨대,1,0.0002
플라스틱 비닐과 종이,1,0.0002
종이 컵,1,0.0002
커피 상자,1,0.0002
네 장 이상,1,0.0002
종이류와 플라스틱류,1,0.0002
음료수 종이 상자,1,0.0002
종이류 상자,1,0.0002
돌담 위에 빨간 빨대가 꽂힌 플라스틱 컵,1,0.0002
플라스틱 재활용품,1,0.0002
보라색과 분홍색,1,0.0002
노란 뚜껑의 금속 캔,1,0.0002
오렌지색 종이 포장지,1,0.0002
플라스틱과 알루미늄,1,0.0002
흰색 서랍장 위의 파란색 서류꽂이,1,0.0002
벽과 배관 사이 바닥에 있음,1,0.0002
플라스틱 튜브와 유리병,1,0.0002
"검은색은 플라스틱, 노란색은 플라스틱",1,0.0002
보라색 알루미늄 포장지,1,0.0002
플라스틱 빨대 2개,1,0.0002
노란색과 파란색,1,0.0002
빨간색 빨대,1,0.0002
플라스틱 조각,1,0.0002
노란 벽 앞 테이블 위,1,0.0002
계란판과 종이 상자,1,0.0002
즙시즐 플럼 주스 팩,1,0.0002
고소미 과자 상자,1,0.0002
책상 오른쪽 위 초록색 용기,1,0.0002
종이 커피 필터,1,0.0002
플라스틱 휴지통,1,0.0002
하얀 플라스틱 용기,1,0.0002
인쇄된 문서,1,0.0002
흰색 음료 컵 뚜껑,1,0.0002
플라스틱 병과 금속 캔,1,0.0002
나무 조각,1,0.0002
파란 뚜껑이 있는 투명 페트병,1,0.0002
롯데 롯세 파인애플 과자 상자,1,0.0002
탁자 위,1,0.0002
노란색과 흰색이 섞인 종이 포장지,1,0.0002
말린 종이 뭉치,1,0.0002
접힌 박스 형태,1,0.0002
명함,1,0.0002
벤치 위,1,0.0002
사무용 메쉬 의자 포장 상자,1,0.0002
아이스 커피 컵과 뚜껑,1,0.0002
바닥에 쌓여 있다,1,0.0002
흰색 플라스틱 양동이,1,0.0002
"병 1개, 캔 1개",1,0.0002
검정색과 갈색,1,0.0002
왼쪽 컵,1,0.0002
딸기맛 스틱 캔디 상자,1,0.0002
초록색 물병,1,0.0002
플라스틱 용기 2개,1,0.0002
책상 왼쪽 뒤쪽,1,0.0002
플라스틱 빨대와 투명 컵,1,0.0002
에어캡(뽁뽁이),1,0.0002
파란색 곡물 시리얼 상자,1,0.0002
투명한 쉐이커 병,1,0.0002
종이 재질의 휴지 상자,1,0.0002
투명한 물병과 음료 컵,1,0.0002
COMPOSE COFFEE,1,0.0002
"검정, 분홍, 파랑",1,0.0002
투명한 플라스틱 펜,1,0.0002
플라스틱 뚜껑이 있는 텀블러,1,0.0002
플라스틱 병과 뽁뽁이,1,0.0002
Dewar`s,1,0.0002
투명한 용기,1,0.0002
플라스틱 용기와 종이 상자,1,0.0002
노란색 알루미늄 용기,1,0.0002
"투명, 갈색, 녹색",1,0.0002
검은색 바탕에 흰색 글씨,1,0.0002
핑크색 뚜껑이 있는 컵,1,0.0002
앞쪽 쓰레기통,1,0.0002
투명 컵과 노란 빨대,1,0.0002
음료가 담긴 투명 플라스틱 컵과 빨대,1,0.0002
생수 페트병,1,0.0002
노란 빨대가 꽂힌 투명 컵,1,0.0002
종이 쪽지,1,0.0002
종이 컵 홀더,1,0.0002
빨간색 뚜껑이 있는 쓰레기통,1,0.0002
대나무 칫솔과 유리병,1,0.0002
"녹색, 투명, 갈색",1,0.0002
왼쪽 흰색 망,1,0.0002
음료가 담긴 플라스틱 컵,1,0.0002
10개입,1,0.0002
종이 상자와 비닐 포장된 감자칩 봉지,1,0.0002
종이와 플라스틱 뚜껑,1,0.0002
화분 오른쪽 바닥에 있다,1,0.0002
녹색 과자 봉지,1,0.0002
플라스틱 스틱 포장재,1,0.0002
투명한 컵과 빨대,1,0.0002
두유 종이팩,1,0.0002
스타벅스 음료 운반용 박스,1,0.0002
나무 테이블 왼쪽,1,0.0002
"플라스틱 컵은 노란색 빨대와 함께 있으며, 컵 뚜껑도 플라스틱 재질이다.",1,0.0002
감귤,1,0.0002
쓰레기봉투 옆 바닥에 있다,1,0.0002
열쇠고리,1,0.0002
분홍색과 갈색의 컵 홀더 2개,1,0.0002
빈 종이 상자,1,0.0002
플라스틱 약병,1,0.0002
얼음 조각,1,0.0002
플라스틱 용기류,1,0.0002
분홍색 컵 뚜껑,1,0.0002
초록색과 투명색,1,0.0002
"빨간색 상자, 파란색 상자, 갈색 상자",1,0.0002
분홍색과 보라색,1,0.0002
흰색 분리수거함,1,0.0002
녹색 캔,1,0.0002
커피음료,1,0.0002
물티슈 포장,1,0.0002
흰색 종이봉투,1,0.0002
비닐(플라스틱),1,0.0002
플라스틱 용기 옆,1,0.0002
Asahi 맥주 캔,1,0.0002
종이와 캔,1,0.0002
빨간색 캔 음료,1,0.0002
버터 와플 상자,1,0.0002
플라스틱 컵과 빨대 모두 재활용이 가능하다.,1,0.0002
초코파이 비닐 포장지,1,0.0002
종이상자와 종이뭉치,1,0.0002
뚜껑이 있는 플라스틱 컵,1,0.0002
플라스틱 봉지에 싸인 사탕,1,0.0002
종이팩으로 분리배출한다,1,0.0002
오뜨 치즈 과자 상자,1,0.0002
뚜껑이 플라스틱이고 빨대가 꽂혀 있음,1,0.0002
고추장 통,1,0.0002
노란색 과자 상자,1,0.0002
빨간색 벽돌 모양 바닥 중앙,1,0.0002
뚜껑이 초록색인 투명 플라스틱 병,1,0.0002
박스 형태의 종이,1,0.0002
왼쪽 바닥에 쌓여 있는 상자들 위,1,0.0002
노란색 캔,1,0.0002
박스 형태로 쌓여 있음,1,0.0002
뚜껑이 있고 빨대가 꽂혀 있음,1,0.0002
검은색 플라스틱 펜,1,0.0002
펩시 제로 슈거,1,0.0002
종이 상자와 종이류,1,0.0002
검은색 마스크 포장 비닐,1,0.0002
조지아,1,0.0002
왼쪽에 있는 투명 컵,1,0.0002
"플라스틱, 재활용 플라스틱",1,0.0002
플라스틱 용기와 뚜껑 모두,1,0.0002
매일 두유 종이팩,1,0.0002
금속 캔은 빨간색과 금색이 섞여 있다.,1,0.0002
흰색 박스,1,0.0002
CITRA HOP SESSION IPA,1,0.0002
복사용지 뭉치,1,0.0002
콘크리트 경계석 옆,1,0.0002
종이 재질의 컵 홀더,1,0.0002
음료 컵 홀더,1,0.0002
골판지 박스,1,0.0002
빨간 수레 왼쪽 앞부분,1,0.0002
종이류 재활용,1,0.0002
분홍색 뚜껑,1,0.0002
OPT-FREE 하이드라모이스트 용기,1,0.0002
투명 플라스틱 컵 뚜껑,1,0.0002
500 ml,1,0.0002
종이 상자 두 개,1,0.0002
음료 페트병,1,0.0002
깨진 유리판,1,0.0002
플라스틱 컵은 빨대와 뚜껑이 모두 있다.,1,0.0002
TEAZLE,1,0.0002
유리병과 플라스틱 용기,1,0.0002
노란색 뚜껑이 있는 초록색 플라스틱 용기,1,0.0002
차 바퀴 옆 도로 가장자리,1,0.0002
하얀색 사각 용기,1,0.0002
Cantata 콘트라베이스 음료 병,1,0.0002
도자기류,1,0.0002
투명 플라스틱 우산,1,0.0002
녹색 비닐봉지 옆에 놓여 있다.,1,0.0002
사과맛,1,0.0002
파란색 봉투,1,0.0002
계란 상자,1,0.0002
운동화 상자,1,0.0002
빨간 플라스틱 쓰레받기,1,0.0002
알루미늄 캔 3개,1,0.0002
플라스틱 재질 용기,1,0.0002
투명한 비닐 포장지,1,0.0002
김밥,1,0.0002
나무 선반 아래 바닥에 있는 흰색 용기,1,0.0002
빨대와 흰색 뚜껑,1,0.0002
"지우개는 일반쓰레기, 비닐포장은 플라스틱류",1,0.0002
녹색 뚜껑이 있는 작은 쓰레기통,1,0.0002
갈색과 흰색이 섞인 종이 상자,1,0.0002
파란색 과자 상자,1,0.0002
"플라스틱 병은 플라스틱, 종이팩은 종이",1,0.0002
오른쪽 가스레인지 위,1,0.0002
비닐류로 분리배출,1,0.0002
플라스틱 컵과 플라스틱 뚜껑은 플라스틱 재활용품으로 분류한다.,1,0.0002
왼쪽 흰색 바구니,1,0.0002
기분 물 DEEP WATER 종이팩,1,0.0002
흰색 발포 폴리스티렌 용기,1,0.0002
금속 캔 용기,1,0.0002
두 상자 모두 종이 재활용이다.,1,0.0002
파란색 뚜껑이 있는 작은 용기,1,0.0002
빈 페트병,1,0.0002
둘 다 플라스틱 재질,1,0.0002
녹색 캔 한 개,1,0.0002
