target_class,classification,color,count,location,material,other
커피 컵과 컵 홀더,0,0,0,0,1,0
커피 페트병,0,0,0,0,1,0
커피가 담긴 투명 플라스틱 컵,1,0,0,0,0,0
커피음료,1,0,0,0,0,0
컴퓨터 모니터 앞,0,0,0,1,0,0
컵 뚜껑,2,0,0,0,0,0
컵 뚜껑과 빨대,0,0,0,0,2,0
컵 안에 음료 위에 덮여 있다.,0,0,0,1,0,0
컵과 뚜껑,1,0,0,0,3,0
컵과 빨대,1,0,0,0,1,0
컵라면 용기 겉면 종이 포장,0,0,0,0,1,0
컵받침 종이,0,0,0,0,1,0
"컵은 투명한 분홍색, 빨대는 분홍색",0,1,0,0,0,0
케이크 받침 종이,1,0,0,0,0,0
코카콜라,3,0,0,0,0,1
코카콜라 빈 페트병,0,0,0,0,1,0
코카콜라 빈 플라스틱 병,0,0,0,0,1,0
코카콜라 제로 PET 병,0,0,0,0,1,0
코카콜라 제로 카페인,1,0,0,0,0,0
코카콜라 캔,0,0,0,0,3,0
코카콜라 페트병,0,0,0,0,2,0
콘크리트 경계석 옆,0,0,0,1,0,0
콜라 캔,2,0,0,0,0,0
콜라 페트병과 플라스틱 컵,1,0,0,0,0,0
콜라겐 샴푸 병,1,0,0,0,0,0
콤부차 병,1,0,0,0,0,0
쿠팡 박스,0,0,0,0,1,0
크래커 상자,0,0,0,0,1,0
큰 박스,0,0,0,0,1,0
타이레놀,1,0,0,0,0,0
타이레놀 약 상자,0,0,0,0,1,0
타이어 위에 놓여 있다.,0,0,0,1,0,0
타이어와 종이 상자,1,0,0,0,0,0
탁자 앞쪽 중앙,0,0,0,1,0,0
탁자 위,0,0,0,1,0,0
탄산음료 캔,1,0,0,0,2,0
탄산음료 캔과 에너지 음료 캔,1,0,0,0,0,0
텀블러,2,0,0,0,0,0
테이블 위,0,0,0,1,0,0
토레타 제로,1,0,0,0,0,0
투명,0,14,0,0,0,0
투명 뚜껑과 초록색 빨대,0,1,0,0,0,0
투명 비닐봉지,1,0,0,0,2,0
투명 비닐봉투,0,0,0,0,1,0
투명 용기,0,0,0,0,1,0
투명 용기와 페트병,0,0,0,0,1,0
투명 직사각형 용기 뚜껑,1,0,0,0,0,0
투명 컵,1,0,0,0,0,0
투명 컵과 노란 빨대,0,0,0,0,1,0
투명 컵과 노란색 빨대,0,2,0,0,0,0
투명 컵과 빨대,0,0,0,0,3,0
투명 페트병,3,0,0,0,8,0
투명 페트병과 투명 플라스틱 용기,0,0,0,0,1,0
투명 페트병과 투명 플라스틱 컵,0,0,0,0,1,0
투명 플라스틱 도시락 용기,1,0,0,0,0,0
투명 플라스틱 뚜껑,0,0,0,0,1,0
투명 플라스틱 병,1,0,0,0,4,0
투명 플라스틱 용기,0,0,0,0,10,0
투명 플라스틱 용기와 페트병,0,0,0,0,2,0
투명 플라스틱 우산,0,0,0,0,1,0
투명 플라스틱 컵,2,0,0,0,13,0
투명 플라스틱 컵 2개,0,0,0,0,1,0
투명 플라스틱 컵 뚜껑,1,0,0,0,0,0
투명 플라스틱 컵과 노란 빨대,0,0,0,0,1,0
투명 플라스틱 컵과 뚜껑,0,0,0,0,4,0
투명 플라스틱 컵과 빨대,0,0,0,0,7,0
투명 플라스틱 포장 용기,0,0,0,0,1,0
"투명, 갈색, 녹색",0,1,0,0,0,0
투명한 계란판,0,0,0,0,1,0
투명한 뚜껑과 노란색 빨대,0,2,0,0,0,0
투명한 뚜껑과 빨대가 있는 음료 컵,1,0,0,0,0,0
투명한 뚜껑과 빨대가 있는 컵,1,0,0,0,1,0
투명한 뚜껑과 흰색 빨대,0,0,0,0,0,1
투명한 뚜껑이 있는 플라스틱 용기,1,0,0,0,0,0
투명한 물병,0,0,0,0,2,0
투명한 물병과 음료 컵,0,0,0,0,1,0
투명한 병에 주황색 뚜껑,0,1,0,0,0,0
투명한 봉투,0,0,0,0,1,1
투명한 분홍색,0,2,0,0,0,0
투명한 비닐 포장재,0,0,0,0,1,0
투명한 비닐 포장지,1,0,0,0,0,0
투명한 비닐봉지,1,0,0,0,0,0
투명한 비닐봉투,0,0,0,0,3,0
투명한 생수병,0,0,0,0,1,0
투명한 소스 용기,1,0,0,0,0,0
투명한 쉐이커 병,1,0,0,0,0,0
투명한 아보카도 포장 용기,0,0,0,0,1,0
투명한 안경 케이스,0,0,0,0,1,0
투명한 용기,1,0,0,0,0,0
투명한 원형 뚜껑과 용기,0,0,0,0,1,0
투명한 음료 컵과 빨대,0,0,0,0,1,0
투명한 컵,0,0,0,0,5,0
투명한 컵 뚜껑,0,0,0,0,1,0
투명한 컵과 빨대,0,0,0,0,1,0
투명한 페트병,0,0,0,0,4,0
투명한 플라스틱 뚜껑,0,0,0,0,2,0
투명한 플라스틱 뚜껑이 있는 음료 컵,1,0,0,0,0,0
투명한 플라스틱 물병,0,0,0,0,1,0
투명한 플라스틱 반찬 용기,1,0,0,0,0,0
투명한 플라스틱 병,0,2,0,0,3,0
투명한 플라스틱 봉투,0,0,0,0,1,0
투명한 플라스틱 용기,2,0,0,0,11,0
투명한 플라스틱 용기 2개,0,0,0,0,1,0
투명한 플라스틱 용기와 뚜껑,0,0,0,0,1,0
투명한 플라스틱 용기와 흰색 플라스틱 컵,1,0,0,0,0,0
투명한 플라스틱 재질에 돔형 뚜껑,1,0,0,0,0,0
투명한 플라스틱 칫솔 포장재,0,0,0,0,1,0
투명한 플라스틱 컵,1,0,0,0,4,0
투명한 플라스틱 컵 두 개,0,0,0,0,2,0
투명한 플라스틱 컵 뚜껑,1,0,0,0,0,0
투명한 플라스틱 컵과 노란 빨대,0,0,0,0,3,0
투명한 플라스틱 컵과 뚜껑,0,0,0,0,6,0
"투명한 플라스틱 컵과 뚜껑, 빨대",0,0,0,0,1,0
투명한 플라스틱 컵과 빨대,0,0,0,0,6,0
투명한 플라스틱 케이스,0,0,0,0,1,0
투명한 플라스틱 파우치,1,0,0,0,0,0
투명한 플라스틱 펜,1,0,0,0,0,0
투명한 플라스틱 포장지,1,0,0,0,0,0
투명한 흰색,0,2,0,0,0,0
티슈 상자와 흰색 종이 뭉치,1,0,0,0,0,0
티즐 제로 피치우롱티 플라스틱 병,1,0,0,0,0,0
파란 뚜껑이 있는 투명 페트병,0,0,0,0,1,0
파란 비닐봉지 밖에 바닥에 놓여 있음,0,0,0,1,0,0
파란색,0,61,0,0,0,0
파란색 곡물 시리얼 상자,0,0,0,0,1,0
파란색 과자 상자,1,0,0,0,0,0
파란색 뚜껑이 있는 작은 용기,0,0,0,0,1,0
파란색 립밤 케이스,1,0,0,0,1,0
파란색 물통,0,0,0,0,1,0
파란색 바구니,0,0,0,0,1,0
파란색 봉투,0,0,0,0,0,1
파란색 빨대,0,1,0,0,0,0
파란색 상자,0,0,0,0,2,0
파란색 스프레이 병,1,0,0,0,0,0
파란색 알루미늄 껌 케이스,0,0,0,0,1,0
파란색 음료 캔,0,0,0,0,2,0
파란색 캔,0,0,0,0,1,0
파란색 포장지,1,0,0,0,0,0
파란색 플라스틱 껌 케이스,0,0,0,0,1,0
"파란색, 흰색, 노란색",0,1,0,0,0,0
파란색과 노란색이 있는 기둥 주위,0,0,0,1,0,0
파란색과 분홍색,0,1,0,0,0,0
파란색과 빨간색,0,1,0,0,0,0
파란색과 연파란색,0,1,0,0,0,0
파란색과 초록색,0,1,0,0,0,0
파란색과 흰색 뚜껑 혼합,0,1,0,0,0,0
팝콘 통,0,0,0,0,1,0
페트병,3,0,0,0,14,0
페트병 생수병,1,0,0,0,0,0
페트병과 플라스틱 컵,3,0,0,0,3,0
페퍼민트 캔디 틴 케이스,1,0,0,0,0,0
페프시 음료 캔과 동원참치 캔,1,0,0,0,0,0
펩시,3,0,0,0,0,1
펩시 제로 슈거,1,0,0,0,0,0
펩시 제로 슈거 라임 플래버 캔,1,0,0,0,0,0
펩시 캔,1,0,0,0,0,0
펩시 페트병,1,0,0,0,0,0
편지봉투,1,0,0,0,0,0
평창수,1,0,0,0,0,0
포도 주스,1,0,0,0,0,0
포스트잇 메모지,1,0,0,0,0,0
포장재,0,0,0,0,1,0
포카리 스웨트,2,0,0,0,0,0
포카리 스웨트 병,1,0,0,0,0,0
포카리 스웨트 페트병,0,0,0,0,2,0
포카리스웨트,2,0,0,0,0,0
포테토칩 봉지는 플라스틱 재질로 재활용 가능하다.,1,0,0,0,0,0
폴리에틸렌(PE),0,0,0,0,1,0
프링글스 감자칩 캔,1,0,0,0,0,0
플라스틱,76,1,0,0,352,4
플라스틱 계란판,2,0,0,0,0,0
플라스틱 과자 봉지,1,0,0,0,0,0
플라스틱 뚜껑,2,0,0,1,5,0
"플라스틱 뚜껑 1개, 빨대 1개",0,0,1,0,0,0
플라스틱 뚜껑 2개,1,0,0,0,0,0
플라스틱 뚜껑과 빨대가 있는 컵 1개,0,0,0,0,1,0
플라스틱 뚜껑과 종이팩,1,0,0,0,0,0
플라스틱 뚜껑과 플라스틱 빨대,0,0,0,0,3,0
플라스틱 뚜껑이 있는 텀블러,1,0,0,0,0,0
플라스틱 물병,1,0,0,0,3,0
플라스틱 바구니,1,0,0,0,0,0
플라스틱 병,81,0,0,4,35,1
플라스틱 병 1개,2,0,0,0,0,0
"플라스틱 병 1개, 금속 캔 1개",0,0,5,0,0,0
"플라스틱 병 1개, 알루미늄 캔 1개",0,0,2,0,0,0
"플라스틱 병 1개, 유리병 1개",0,0,1,0,0,0
"플라스틱 병 1개, 종이 상자 1개",0,0,2,0,0,0
"플라스틱 병 1개, 플라스틱 컵 1개",0,0,1,0,0,0
플라스틱 병 1개와 유리 병 1개,0,0,0,0,1,0
플라스틱 병 1개와 캔 1개,1,0,0,0,0,0
플라스틱 병 1개와 투명한 플라스틱 용기 2개,0,0,0,0,1,0
플라스틱 병 2개,1,0,0,0,0,0
"플라스틱 병 2개, 컵 1개",0,0,1,0,0,0
플라스틱 병 두 개,1,0,0,0,0,0
플라스틱 병 마개,1,0,0,0,0,0
플라스틱 병 표면에 물방울이 맺혀 있다.,1,0,0,0,0,0
플라스틱 병 하나,1,0,0,0,0,0
플라스틱 병과 금속 캔,0,0,0,0,1,0
플라스틱 병과 뽁뽁이,1,0,0,0,0,0
플라스틱 병과 용기,3,0,0,0,2,0
플라스틱 병과 종이팩,1,0,0,0,0,0
플라스틱 병과 캔,1,0,0,0,0,0
플라스틱 병과 플라스틱 뚜껑,0,0,0,0,1,0
플라스틱 병과 플라스틱 용기,1,0,0,0,1,0
플라스틱 병과 플라스틱 컵,1,0,0,0,4,0
플라스틱 병뚜껑,1,0,0,0,0,0
"플라스틱 병은 플라스틱, 종이팩은 종이",0,0,0,0,1,0
플라스틱 병이 든 비닐봉지,1,0,0,0,0,0
플라스틱 보드 마커,1,0,0,0,0,0
플라스틱 봉지,4,0,0,0,1,0
플라스틱 봉지에 싸인 사탕,1,0,0,0,0,0
플라스틱 봉지와 금속 포장지,1,0,0,0,0,0
플라스틱 봉투,8,0,0,0,1,0
플라스틱 비닐 포장재,2,0,0,0,0,0
플라스틱 비닐과 종이,0,0,0,0,1,0
플라스틱 빨대,11,0,0,1,3,0
플라스틱 빨대 2개,1,0,0,0,0,0
플라스틱 빨대와 투명 컵,1,0,0,0,0,0
플라스틱 빨대와 포장지,0,0,0,1,0,0
플라스틱 상자,1,0,0,0,0,0
플라스틱 생수병,1,0,0,0,0,0
플라스틱 생수병 2개,1,0,0,0,0,0
플라스틱 세제 용기,0,0,0,0,1,0
플라스틱 숟가락과 요구르트 용기,0,0,0,0,1,0
플라스틱 숟가락과 페트병,1,0,0,0,0,0
플라스틱 스틱 포장재,1,0,0,0,0,0
플라스틱 스프레이 병 2개,1,0,0,0,0,0
플라스틱 약병,1,0,0,0,0,0
플라스틱 약통,0,0,0,0,1,0
플라스틱 에어캡(뽁뽁이),1,0,0,0,0,0
플라스틱 요구르트 병,1,0,0,0,0,0
플라스틱 용기,17,0,0,0,7,2
"플라스틱 용기 1개, 숟가락 1개",0,0,1,0,0,0
플라스틱 용기 2개,1,0,0,0,0,0
플라스틱 용기 3개,1,0,0,0,0,0
플라스틱 용기 두 개 모두,0,0,0,0,1,0
플라스틱 용기 뚜껑,0,0,0,0,1,0
플라스틱 용기 옆,0,0,0,1,0,0
플라스틱 용기류,1,0,0,0,0,0
플라스틱 용기와 뚜껑,0,0,0,0,1,0
플라스틱 용기와 뚜껑 모두,0,0,0,0,1,0
플라스틱 용기와 병,1,0,0,0,0,0
플라스틱 용기와 비닐 포장재,1,0,0,0,0,0
플라스틱 용기와 종이 상자,1,0,0,0,0,0
플라스틱 용기와 포장 비닐,1,0,0,0,0,0
플라스틱 용기와 플라스틱 병,0,0,0,0,1,0
플라스틱 의자,1,0,0,0,0,0
플라스틱 재질,0,0,0,0,10,0
플라스틱 재질 용기,0,0,0,0,1,0
플라스틱 재질의 대야,0,0,0,0,1,0
플라스틱 재질의 상자,0,0,0,0,1,0
플라스틱 재질의 용기,0,0,0,0,1,0
플라스틱 재질의 지퍼백,0,0,0,0,1,0
플라스틱 재질의 포장재,1,0,0,0,1,0
플라스틱 재활용,12,0,0,0,0,0
플라스틱 재활용품,0,0,0,0,1,0
플라스틱 접시,1,0,0,0,1,0
플라스틱 젓가락,0,0,0,0,1,0
플라스틱 젓가락 포장재,1,0,0,0,0,0
플라스틱 조각,1,0,0,0,0,0
플라스틱 지퍼백 형태의 포장재,1,0,0,0,0,0
플라스틱 집게,1,0,0,0,0,0
플라스틱 캔디 포장지,1,0,0,0,0,0
플라스틱 컵,35,0,0,6,32,0
"플라스틱 컵 1개, 빨대 1개",0,0,2,0,0,0
플라스틱 컵 1개와 빨대 1개,0,0,1,0,0,0
플라스틱 컵 2개,1,0,0,0,0,0
"플라스틱 컵 3개, 빨대 4개",0,0,1,0,0,0
플라스틱 컵 뚜껑,2,0,0,0,2,0
플라스틱 컵 뚜껑과 빨대가 모두 플라스틱 재질이다.,1,0,0,0,0,0
플라스틱 컵 한 개,1,0,0,0,0,0
플라스틱 컵과 금속 캔,0,0,0,0,1,0
플라스틱 컵과 뚜껑,5,0,0,0,13,0
플라스틱 컵과 빨대,23,0,0,0,29,1
플라스틱 컵과 빨대 모두 재활용이 가능하다.,1,0,0,0,0,0
플라스틱 컵과 빨대가 각각 한 개씩 있다.,1,0,0,0,0,0
플라스틱 컵과 종이 컵홀더,1,0,0,0,2,0
플라스틱 컵과 종이컵,0,0,0,0,1,0
플라스틱 컵과 종이팩,1,0,0,0,1,0
플라스틱 컵과 캔,3,0,0,0,0,0
플라스틱 컵과 페트병,0,0,0,0,3,0
플라스틱 컵과 플라스틱 뚜껑,0,0,0,0,4,0
플라스틱 컵과 플라스틱 뚜껑은 플라스틱 재활용품으로 분류한다.,1,0,0,0,0,0
플라스틱 컵과 플라스틱 병,0,0,0,0,1,0
플라스틱 컵과 플라스틱 빨대,2,0,0,0,4,0
플라스틱 컵과 플라스틱 용기,1,0,0,0,0,0
플라스틱 컵에 핑크색 라벨이 붙어 있다.,0,0,0,1,0,0
"플라스틱 컵에는 빨대가 꽂혀 있고, 컵 겉면에 종이 재질의 띠가 감겨 있다.",1,0,0,0,0,0
"플라스틱 컵은 노란색 빨대와 함께 있으며, 컵 뚜껑도 플라스틱 재질이다.",1,0,0,0,0,0
플라스틱 컵은 빨대와 뚜껑이 모두 있다.,1,0,0,0,0,0
플라스틱 통,0,0,0,0,1,0
플라스틱 통과 뚜껑,0,0,0,0,1,0
플라스틱 투명 용기,0,0,0,0,1,0
플라스틱 튜브 2개,1,0,0,0,0,0
플라스틱 튜브 형태의 치약 용기,1,0,0,0,0,0
플라스틱 튜브와 유리병,0,0,0,0,1,0
플라스틱 트레이,0,0,0,0,1,0
플라스틱 파우치,1,0,0,0,1,0
플라스틱 파일 홀더,1,0,0,0,0,0
플라스틱 펌프 용기,1,0,0,0,1,0
플라스틱 페트병,2,0,0,0,0,0
플라스틱 펜,0,0,0,1,0,0
플라스틱 포장된 물티슈,1,0,0,0,0,0
플라스틱 포장된 포크,1,0,0,0,0,0
플라스틱 포장재,13,0,0,0,0,0
플라스틱 포장재 2개,1,0,0,0,1,0
플라스틱 포장지,12,0,0,0,1,0
플라스틱 포크,2,0,0,0,0,0
플라스틱 필름,0,0,0,0,8,0
플라스틱 핸드크림 튜브,0,0,0,1,0,0
플라스틱 휴지통,0,0,0,0,1,0
"플라스틱, 재활용 플라스틱",0,0,0,0,1,0
플라스틱과 금속,0,0,0,0,7,0
플라스틱과 금속이 혼합된 재질,0,0,0,0,1,0
플라스틱과 비닐류,1,0,0,0,0,0
플라스틱과 알루미늄,0,0,0,0,1,0
플라스틱과 유리,0,0,0,0,1,0
플라스틱과 종이,0,0,0,0,2,0
플라스틱류,0,0,0,0,1,0
플라스틱병,0,0,0,0,1,0
피스타치오,1,0,0,0,0,0
피자 상자,1,0,0,0,2,0
핑크색 뚜껑이 있는 컵,0,0,0,0,1,0
핑크색 빨대컵,1,0,0,0,0,0
하나는 찌그러지고 하나는 멀쩡하다.,1,0,0,0,0,0
하비스트 쿠키 상자,0,0,0,0,1,0
하얀 비닐봉지,0,0,0,0,1,0
하얀 종이 상자,0,0,0,0,1,0
하얀 컵 옆 탁자 위,0,0,0,1,0,0
하얀 플라스틱 병과 투명 플라스틱 포장재,0,0,0,0,1,0
하얀 플라스틱 용기,0,0,0,0,1,0
하얀색 뚜껑이 있는 약병 용기,1,0,0,0,0,0
하얀색 사각 용기,0,0,0,0,1,0
하얀색 상자,0,0,0,0,1,0
하얀색 용기와 박스 형태의 용기들,1,0,0,0,0,0
하얀색 종이봉투,0,0,0,0,1,0
하얀색 종이컵,0,0,0,0,1,0
하얀색 코코호도 상자,0,0,0,0,1,0
하얀색 플라스틱 포장지,0,0,0,0,1,0
형광등,1,0,0,0,0,0
호퍼스 영화 포스터가 붙은 원통형 용기,0,0,0,0,1,0
화분 옆 작은 투명 플라스틱 병,0,0,0,1,0,0
화분 오른쪽 바닥에 있다,0,0,0,1,0,0
화장품 토너 병,0,0,0,0,1,0
환타,1,0,0,0,0,0
회색,0,1,0,0,0,0
휴지심,0,0,0,0,1,0
흰색,0,14,0,0,0,0
"흰색 3개, 녹색 5개",0,1,0,0,0,0
흰색 뚜껑이 있는 둥근 용기,1,0,0,0,0,0
흰색 바구니,0,0,0,0,1,0
흰색 박스,0,0,0,0,1,0
흰색 발포 폴리스티렌 용기,0,0,0,0,1,0
흰색 벽 앞,0,0,0,1,0,0
흰색 분리수거함,0,0,0,1,0,0
흰색 상자,0,0,0,0,2,0
흰색 서랍장 위의 파란색 서류꽂이,0,0,0,0,1,0
흰색 손잡이가 달린 용기,0,0,0,0,2,0
흰색 슬리퍼,0,0,0,0,1,0
흰색 약병 용기,1,0,0,0,0,0
흰색 음료 컵 뚜껑,0,0,0,0,1,0
흰색 접이식 휴대폰 거치대,1,0,0,0,0,0
흰색 종이 상자,0,0,0,0,2,0
흰색 종이봉투,0,0,0,0,1,0
흰색 컵은 종이 재질이다.,0,0,0,0,1,0
흰색 튜브형 용기,1,0,0,0,0,0
흰색 플라스틱 양동이,0,0,0,0,1,0
흰색 플라스틱 용기,0,0,0,0,5,0
흰색 플라스틱 쟁반,0,0,0,0,1,0
흰색 플라스틱 컵,0,0,0,0,1,0
흰색 플라스틱 통,1,0,0,0,0,0
흰색과 검은색,0,1,0,0,0,0
흰색과 분홍색,0,1,0,0,0,0
흰색과 주황색의 종이 용기,0,0,0,0,1,0
흰색과 초록색,0,1,0,0,0,0
